subID,gender,age,ageGrp,bestGalaxy,secondbest,RewardProb,pctRewardProb,zRewardProb,Galaxy,HighOrLow,Controllability,pctControllability,zControllability
planit100t,F,13.915,teen,gYoked,gRand,2,0.285714286,-1.330235009,gYoked,Lo,6,0.857142857,0.812345042
planit029t,M,14.364,teen,gEqual,gYoked,3,0.428571429,-0.744890956,gYoked,Lo,4,0.571428571,-0.473124036
planit082t,F,14.614,teen,gRand,gEqual,2,0.285714286,-1.330235009,gYoked,Lo,3,0.428571429,-1.115858574
planit056t,M,14.644,teen,gRand,gEqual,2,0.285714286,-1.330235009,gYoked,Lo,3,0.428571429,-1.115858574
planit070t,F,14.666,teen,gRand,gYoked,2,0.285714286,-1.330235009,gYoked,Lo,3,0.428571429,-1.115858574
planit045t,F,14.778,teen,gRand,gEqual,3,0.428571429,-0.744890956,gYoked,Lo,4,0.571428571,-0.473124036
planit108t,M,14.967,teen,gRand,gYoked,5,0.714285714,0.42579715,gYoked,Lo,3,0.428571429,-1.115858574
planit068t,F,15.003,teen,gYoked,gEqual,4,0.571428571,-0.159546903,gYoked,Lo,5,0.714285714,0.169610503
planit076t,F,15.271,teen,gRand,gEqual,2,0.285714286,-1.330235009,gYoked,Lo,2,0.285714286,-1.758593113
planit067t,F,15.499,teen,gEqual,gRand,2,0.285714286,-1.330235009,gYoked,Lo,3,0.428571429,-1.115858574
planit081t,F,15.614,teen,gYoked,gEqual,3,0.428571429,-0.744890956,gYoked,Lo,5,0.714285714,0.169610503
planit086t,F,15.619,teen,gYoked,gRand,3,0.428571429,-0.744890956,gYoked,Lo,5,0.714285714,0.169610503
planit109t,M,15.701,teen,gYoked,gRand,2,0.285714286,-1.330235009,gYoked,Lo,6,0.857142857,0.812345042
planit052t,M,15.712,teen,gYoked,gRand,7,1,1.596485256,gYoked,Lo,7,1,1.455079581
planit106t,M,15.805,teen,gRand,gEqual,3,0.428571429,-0.744890956,gYoked,Lo,3,0.428571429,-1.115858574
planit078t,F,16.005,teen,gEqual,gYoked,4,0.571428571,-0.159546903,gYoked,Lo,3,0.428571429,-1.115858574
planit110t,M,16.334,teen,gYoked,gRand,2,0.285714286,-1.330235009,gYoked,Lo,6,0.857142857,0.812345042
planit048t,M,16.373,teen,gYoked,gRand,3,0.428571429,-0.744890956,gYoked,Lo,7,1,1.455079581
planit087t,F,16.704,teen,gYoked,gEqual,3,0.428571429,-0.744890956,gYoked,Lo,7,1,1.455079581
planit044t,F,16.86,teen,gRand,gEqual,3,0.428571429,-0.744890956,gYoked,Lo,3,0.428571429,-1.115858574
planit122t,M,16.863,teen,gRand,gYoked,3,0.428571429,-0.744890956,gYoked,Lo,5,0.714285714,0.169610503
planit091t,M,17.318,teen,gEqual,gYoked,1,0.142857143,-1.915579062,gYoked,Lo,3,0.428571429,-1.115858574
planit059t,F,17.479,teen,gYoked,gRand,4,0.571428571,-0.159546903,gYoked,Lo,7,1,1.455079581
planit107t,M,17.499,teen,gEqual,gRand,4,0.571428571,-0.159546903,gYoked,Lo,3,0.428571429,-1.115858574
planit104t,F,17.504,teen,gRand,gYoked,4,0.571428571,-0.159546903,gYoked,Lo,7,1,1.455079581
planit121t,F,17.849,teen ,gRand,gYoked,4,0.571428571,-0.159546903,gYoked,Lo,5,0.714285714,0.169610503
planit127t,M,17.997,teen,gYoked,gEqual,5,0.714285714,0.42579715,gYoked,Lo,6,0.857142857,0.812345042
planit113a,M,18.126,adult,gYoked,gRand,3,0.428571429,-0.744890956,gYoked,Lo,5,0.714285714,0.169610503
planit022a,F,18.521,adult,gRand,gEqual,4,0.571428571,-0.159546903,gYoked,Lo,5,0.714285714,0.169610503
planit112a,M,18.874,adult,gRand,gEqual,3,0.428571429,-0.744890956,gYoked,Lo,4,0.571428571,-0.473124036
planit038a,F,18.986,adult,gRand,gEqual,3,0.428571429,-0.744890956,gYoked,Lo,1,0.142857143,-2.401327652
planit023a,F,19.101,adult,gRand,gEqual,3,0.428571429,-0.744890956,gYoked,Lo,4,0.571428571,-0.473124036
planit024a,F,19.186,adult,gYoked,gEqual,4,0.571428571,-0.159546903,gYoked,Lo,1,0.142857143,-2.401327652
planit071a,M,19.584,adult,gYoked,gEqual,2,0.285714286,-1.330235009,gYoked,Lo,6,0.857142857,0.812345042
planit031a,M,19.715,adult,gEqual,gYoked,4,0.571428571,-0.159546903,gYoked,Lo,5,0.714285714,0.169610503
planit042a,F,20.008,adult,gEqual,gRand,2,0.285714286,-1.330235009,gYoked,Lo,4,0.571428571,-0.473124036
planit032a,M,20.126,adult,gRand,gEqual,4,0.571428571,-0.159546903,gYoked,Lo,5,0.714285714,0.169610503
